original_name,mapped_name
district attorneys assn of the state of new york,District Attorneys Association of the State of New York
new york state district attorneys assn,District Attorneys Association of the State of New York
district attorneys’ assn of georgia,District Attorneys’ Association of Georgia
georgia district attorneys assn,District Attorneys’ Association of Georgia
d.c. assn of criminal defense lawyers,District of Columbia Association of Criminal Defense Lawyers
district of columbia assn of criminal defense lawyers,District of Columbia Association of Criminal Defense Lawyers
doctors for camp closure,Doctors for Camp Closure (D4CC)
doctors for camp closure (d4cc),Doctors for Camp Closure (D4CC)
downsize dc fdn,Downsize DC.org
downsize dc fdn.,Downsize DC.org
downsize dc.org,Downsize DC.org
downsizedc.org,Downsize DC.org
dri,DRI Center for Law and Public Policy
dri ctr for law and public policy,DRI Center for Law and Public Policy
dri-ctr for law and public policy,DRI Center for Law and Public Policy
eagle forum,Eagle Forum
eagle forum education and legal defense fund,Eagle Forum
eagle forum fdn,Eagle Forum
eagle forum of alabama,Eagle Forum
eagle forum of california,Eagle Forum
eagle forum of georgia,Eagle Forum
pennsylvania eagle forum,Eagle Forum
tennessee eagle forum,Eagle Forum
earlens,EarLens Corporation
earlens corporation,EarLens Corporation
earlens croporation,EarLens Corporation
end citizens united / let america vote action fund,End Citizens United / Let America Vote Action Fund
end citizens united//let america vote action fund,End Citizens United / Let America Vote Action Fund
energy transfer lp,Energy Transfer LP
energy transfer partners l.p.,Energy Transfer LP
equality new york,Equality New York Fund
equality new york fund,Equality New York Fund
ethics and religious liberty commission,Ethics and Religious Liberty Commission of the Southern Baptist Convention
ethics and religious liberty commission of the southern baptist conference,Ethics and Religious Liberty Commission of the Southern Baptist Convention
ethics and religious liberty commission of the southern baptist convention,Ethics and Religious Liberty Commission of the Southern Baptist Convention
everytown for gun safety,Everytown for Gun Safety
everytown for gun safety support fund,Everytown for Gun Safety
fair and just prosecution,Fair and Just Prosecution
fair and just prosecution a project of the tides ctr,Fair and Just Prosecution
family heritage alliance,Family Heritage Alliance
family heritage alliance (south dakota),Family Heritage Alliance
family inst of connecticut,Family Institute of Connecticut Action
family inst of connecticut action,Family Institute of Connecticut Action
federal defenders of eastern washington,Federal Defenders of Eastern Washington
federal defenders of eastern washington and idaho,Federal Defenders of Eastern Washington
federal public and community defenders,Federal Public and Community Defenders
natl sentencing resource counsel federal public and community defenders,Federal Public and Community Defenders
federal public defender district of alaska,Federal Public Defender for the District of Alaska
federal public defender for the district of alaska,Federal Public Defender for the District of Alaska
federal defender for the district of arizona,Federal Public Defender for the District of Arizona
federal public defender district of arizona,Federal Public Defender for the District of Arizona
federal public defender for the district of arizona,Federal Public Defender for the District of Arizona
federal public defender district of guam,Federal Public Defender for the District of Guam
federal public defender for the district of guam,Federal Public Defender for the District of Guam
federal public defender district of hawai’i,Federal Public Defender for the District of Hawaii
federal public defender for the district of hawaii,Federal Public Defender for the District of Hawaii
federal defender for the eastern district of california,Federal Public Defender for the Eastern District of California
federal public defender eastern district of california,Federal Public Defender for the Eastern District of California
federal public defender for the eastern district of california,Federal Public Defender for the Eastern District of California
federal public defender for the western district of washington,Federal Public Defender for the Western District of Washington
federal public defender western district of washington,Federal Public Defender for the Western District of Washington
federal public defender district of nevada,"Federal Public Defender, District of Nevada"
federal public defender for the district of nevada,"Federal Public Defender, District of Nevada"
feeding america,Feeding America
feeding america-eastern wisconsin,Feeding America
firearm policy coalition,Firearms Policy Coalition
firearms policy coalition,Firearms Policy Coalition
first nations women’s alliance,First Nations Women’s Alliance
first nations womens alliance,First Nations Women’s Alliance
flavour art north america,Flavour Art North American
flavour art north american,Flavour Art North American
florence immigrant and refugee rights project,Florence Immigrant & Refugee Rights Project
florence immigrant and refugee rights project lawyers for civil rights,Florence Immigrant & Refugee Rights Project
central florida assn of criminal defense lawyers,Florida Association for Criminal Defense Lawyers
florida assn for criminal defense lawyers,Florida Association for Criminal Defense Lawyers
fmi,"FMI, The Food Industry Association"
fmi the food industry assn,"FMI, The Food Industry Association"
fond du lac band,Fond du Lac Band of Lake Superior Chippewa
fond du lac band of lake superior chippewa,Fond du Lac Band of Lake Superior Chippewa
former executive office for immigration review judges,Former Executive Office for Immigration Review Judges
former executive office of immigration review judges,Former Executive Office for Immigration Review Judges
free press,Free Press Action
free press action,Free Press Action
free speech def. and ed. fund,Free Speech Defense and Education Fund
free speech defense and education fund,Free Speech Defense and Education Fund
freedomworks,FreedomWorks Foundation
freedomworks fdn,FreedomWorks Foundation
freeport-mcmoran,Freeport-McMoRan Oil & Gas LLC
freeport-mcmoran oil and gas,Freeport-McMoRan Oil & Gas LLC
frontier communications corporation,Frontier Communications Corporation
frontier communications parent,Frontier Communications Corporation
frontline,Frontline
frontline policy,Frontline
geisinger,Geisinger
geisinger health plan,Geisinger
general assembly of the presbyterian church (u.s.a.),General Assembly of the Presbyterian Church (U.S.A.)
presbyterian church (u.s.a.),General Assembly of the Presbyterian Church (U.S.A.)
atlantic union conference of seventh-day adventists,General Conference of Seventh-day Adventists
columbia union conference of seventh-day adventists,General Conference of Seventh-day Adventists
general conference of seventh-day adventists,General Conference of Seventh-day Adventists
general conference of the seventh-day adventist church,General Conference of Seventh-day Adventists
general conference of the seventh-day adventists,General Conference of Seventh-day Adventists
assemblies of god,General Council of the Assemblies of God
general council of the assemblies of god,General Council of the Assemblies of God
congregational united church of christ,General Synod of the United Church of Christ
general synod of the united church of christ,General Synod of the United Church of Christ
montana-northern wyoming conference united church of christ,General Synod of the United Church of Christ
united church of christ,General Synod of the United Church of Christ
georgia conservation voters,Georgia Conservation Voters
georgia conservation voters education fund,Georgia Conservation Voters
glma: health professionals advancing lgbtq equality,GLMA: Health Professionals Advancing LGBTQ Equality
glma: health professionals advancing lgbtq+ equality,GLMA: Health Professionals Advancing LGBTQ Equality
glma: health professionals advancing lgbtq+ health,GLMA: Health Professionals Advancing LGBTQ Equality
ctr for global justice,Global Justice Center
global justice ctr,Global Justice Center
graphic artist’s guild,Graphic Artists Guild
graphic artists guild,Graphic Artists Guild
gun owners fdn,Gun Owners Foundation
gun owners fdn.,Gun Owners Foundation
california county gun owners,Gun Owners of California
gun owners of california,Gun Owners of California
gun owners action league (massachusetts),Gun Owners’ Action League Massachusetts
gun owners’ action league massachusetts,Gun Owners’ Action League Massachusetts
hadassah the women’s zionist org of america,"Hadassah, The Women’s Zionist Organization of America"
hadassah the womens zionist org of america,"Hadassah, The Women’s Zionist Organization of America"
hebrew immigrant aid soc (hias) pennsylvania,HIAS Pennsylvania
hias pennsylvania,HIAS Pennsylvania
hope family services at the resurrection project,HOPE Family Services at The Resurrection Project
resurrection project,HOPE Family Services at The Resurrection Project
