"group","ideal_point","std_error","lower_ci","upper_ci"
"torah umesorah",-0.31194686659313,0.0769962163648864,-0.462859450668307,-0.161034282517952
"operation outcry women injured by abortion",-0.311268225725513,0.0896063048738403,-0.48689658327824,-0.135639868172786
"fdn for individual rights and expression",-0.302099825345137,0.12937960887359,-0.555683858737373,-0.0485157919529003
"lawyers democracy fund",-0.301275142153738,0.123209395427344,-0.542765557191333,-0.0597847271161437
"freedom fdn",-0.300631424748095,0.0974129543473973,-0.491560815268994,-0.109702034227197
"techfreedom",-0.300520752303249,0.131062629790085,-0.557403506691815,-0.0436379979146834
"american family assn",-0.300322642692262,0.104935081325674,-0.505995402090584,-0.0946498832939404
"natl mining assn",-0.299044519140959,0.102978048176343,-0.500881493566591,-0.0972075447153263
"american principles project",-0.298666997297121,0.0914199822337476,-0.477850162475267,-0.119483832118976
"mountain states policy ctr",-0.298474353513707,0.117083790793664,-0.527958583469288,-0.0689901235581265
"american encore",-0.298091915111242,0.0925617933843657,-0.479513030144598,-0.116670800077885
"james dobson family inst",-0.297991850662962,0.102576967182485,-0.499042706340632,-0.0969409949852924
"citizens comm for the right to keep and bear arms",-0.296907055195119,0.107766402323506,-0.508129203749191,-0.0856849066410463
"american cornerstone inst",-0.29636888594898,0.0868460053307439,-0.466587056397238,-0.126150715500721
"agudath israel of america",-0.295057377798354,0.109839877956799,-0.510343538593679,-0.0797712170030281
"wagner faith and freedom ctr",-0.293854410893051,0.0847441391504221,-0.459952923627879,-0.127755898158224
"western states sheriffs’ assn",-0.292748249776078,0.101682215053077,-0.492045391280108,-0.0934511082720475
"law enforcement legal defense fund",-0.292746379034164,0.102945179065065,-0.494518930001691,-0.0909738280666364
"christians engaged",-0.28986691912047,0.0991522124059145,-0.484205255436062,-0.0955285828048776
"natl taxpayers union fdn",-0.286348032102919,0.122854934229269,-0.527143703192285,-0.045552361013552
"rutherford inst",-0.285711133503219,0.139836024314591,-0.559789741159817,-0.0116325258466212
"connecticut citizens defense league",-0.283139046348384,0.10752459298799,-0.493887248604844,-0.0723908440919238
"missouri ctr-right coalition",-0.282316718811209,0.10874595676936,-0.495458794079155,-0.0691746435432627
"assn of mature american citizens",-0.282071346903683,0.0939874143697508,-0.466286679068395,-0.0978560147389714
"family policy alliance",-0.28081461886117,0.0852077710076876,-0.447821850036237,-0.113807387686102
"bank policy inst",-0.279011486051832,0.113097698551182,-0.500682975212148,-0.0573399968915154
"family council in arkansas",-0.278725761181832,0.108209654040481,-0.490816683101175,-0.0666348392624891
"american free enterprise chamber of commerce",-0.27547710350767,0.119573419921025,-0.509841006552878,-0.0411132004624613
"citizen action defense fund",-0.275456992509772,0.114729905941103,-0.500327608154333,-0.0505863768652106
"united states conference of catholic bishops",-0.273356863091686,0.0702314320546809,-0.41101046991886,-0.135703256264511
"american civil rights project",-0.271927990422543,0.0958290326772142,-0.459752894469882,-0.0841030863752027
"american property casualty insurance assn",-0.271727028439021,0.104416299885473,-0.476382976214548,-0.0670710806634939
"american hindu coalition",-0.271533431801594,0.118005763031468,-0.50282472734327,-0.0402421362599168
"natl fdn for gun rights",-0.270563376693048,0.102544626879119,-0.471550845376121,-0.0695759080099747
"evangelical council for financial accountability",-0.269500018198842,0.0870136985682515,-0.440046867392615,-0.0989531690050689
"credit union natl assn",-0.26850298755892,0.126906643459046,-0.51724000873865,-0.0197659663791906
"idaho family policy ctr",-0.267679413581727,0.0988257720200707,-0.461377926741065,-0.073980900422388
"natl apostolic christian leadership conference",-0.266468831142183,0.101415946708754,-0.46524408669134,-0.0676935755930254
"natl jewish commission on law and public affairs",-0.266314723586056,0.107522593176791,-0.477059006212567,-0.0555704409595461
