"case","year","difficulty","discrimination"
"19_1189",19,0.225744232160723,-1.77013110913673
"24_7",24,0.817278829730822,-3.16624134848304
"18_1171",18,0.204382269941838,-1.55462624976288
"22_1008",22,0.234390811826661,-2.0530983669856
"18_355",18,0.678416420829849,-0.636765958307893
"18_6210",18,0.21737332326923,-1.47190355607066
"18_217",18,-0.312816957364442,-1.30562509404218
"22_448",22,0.130977574365109,4.1700898859542
"24_44",24,0.953362268115319,-3.06147836258999
"21_6001",21,0.45861088106809,0.870224302660606
"20_1199",20,-0.84561906512143,-5.89094818856895
"18_916",18,-0.121752763066054,1.05648264837369
"18_926",18,0.437600778296022,-1.31307789987132
"20_5904",20,0.773793782053041,-0.149315194708264
"23_713",23,0.513287284924511,-0.152425623232855
"19_1199",19,0.323211659947871,-1.64772387071795
"24_297",24,1.12020724647675,-3.09125688645375
"24_422",24,-0.0735820046678602,4.52912774087953
"24_656",24,-0.239126057994951,2.42298023095981
"19_1258",19,-0.749049981330996,-4.14498414923808
"22_741",22,0.802272292594996,-2.16989192645445
"20_1149",20,0.370217061297029,-1.43497991130002
"23_392",23,0.499979119552783,-1.48403215274141
"19_71",19,-0.863117347967817,0.124543339405522
"21_164",21,0.549703205434058,-1.75490444905385
"19_1241",19,-0.441738080854687,-2.93708268283157
"23_1324",23,-0.114950213992554,0.449048835861535
"23_1084",23,0.43217517879335,-1.61011651808089
"23_1050",23,0.260203878082118,-1.54732485480236
"22_888",22,0.506942213720762,0.103307629156953
"22_340",22,0.498628002243197,-0.244479849474063
"22_529",22,-0.00454369519894587,2.42487069283637
"23_270",23,0.713598730837346,0.18658193624346
"23_329",23,0.412755790931395,-1.40297117644905
"19_247",19,0.8344085874759,0.150909928376716
"20_1780",20,-0.415517512754655,-3.8019745734647
"21_1397",21,0.35281764809456,-1.21737409055073
"22_190",22,0.575539481222962,0.159407578191614
"20_1088",20,0.199344894573301,-4.85721029952008
"23_910",23,0.577451435093784,-1.44257934549688
"21_454",21,0.331761820435498,-3.54297361109934
"18_9399",18,0.423372869001803,-1.92570539060088
"19_679",19,0.935103654353894,-0.205366954790486
"20_1678",20,0.479283593385219,-1.8536320889673
"18_546",18,0.370244097023589,1.35052814067305
"22_1199",22,0.471039469790094,-2.16459734837687
"23_171",23,0.507644405880355,-1.59164026584013
"22_451",22,0.0570786362859,-4.18252917995892
"19_368",19,0.03228815737372,-1.40950165536868
"21_159",21,0.6417406572583,-1.88162452882717
"20_559",20,0.914450935829036,1.2473570834146
"23_927",23,0.62429561386651,-2.57737107132196
"22_506",22,-0.196035798145303,3.1231612933904
"21_1052",21,-0.232549897708696,1.08500794180639
"18_881",18,0.377756677114896,-1.74536317427346
"18_300",18,0.354575246517387,-1.50029369468451
"23_80",23,0.446605274644415,-0.722404788275682
"18_1109",18,0.219778417862816,1.10896778706388
"20_318",20,0.584416760505169,1.09033172915001
"23_601",23,0.520773225525286,-1.88294023078729
"18_1514",18,-0.475868557402043,-0.488777469544432
"24_71",24,0.838583945279207,-2.90742756767201
"21_440",21,0.470898685712749,-0.699441597933386
"22_865",22,0.292807634454999,-1.49725521167553
"22_42",22,0.237624947738361,-1.58237106181099
"20_1434",20,0.563495567434861,-2.17901343126203
