group_names,group_id
natl family planning and reproductive health assn,630
american assn for justice,631
coalition for litigation justice,632
american-arab anti-discrimination comm,633
mountain states legal fdn’s ctr to keep and bear arms,634
ctr for political renewal,635
planned parenthood fed of america,636
google,637
american legislative exchange council,638
southeastern legal fdn,639
small property owners of san francisco inst,640
advocates for human rights,641
guttmacher inst,642
edison electric inst,643
bay area lawyers for individual freedom,644
anglican church in north america,645
match grp,646
natl women’s health network,647
citizens united,648
modern military assn of america,649
america first legal fdn,650
black women’s health imperative,651
fdn for individual rights in education,652
natl lgbt bar assn,653
wagner faith and freedom ctr,654
liberty justice ctr,655
natl crittenton,656
american fed of labor and congress of industrial org,657
hispanic assn of colleges and universities,658
young america’s fdn,659
natl capacd-natl coalition for asian pacific american community development,660
lawyers democracy fund,661
minority veterans of america,662
safe horizon,663
human coalition,664
advancing american freedom,665
clare boothe luce ctr for conservative women,666
service employees intl union,667
family council in arkansas,668
zionist org of america,669
assn of research libraries,670
natl sheriffs’ assn,671
natl fed of the blind,672
unitarian universalist assn,673
hawaii family forum,674
congressional prayer caucus fdn,675
asian pacific inst on gender-based violence,676
coalition of labor union women,677
rhode island ctr for freedom and prosperity,678
oxfam america,679
fdn for government accountability,680
council of independent colleges,681
ctr for law and social policy,682
missouri ctr-right coalition,683
natl assn of clean water agencies,684
women’s law ctr of maryland,685
christians engaged,686
natl assn of counties,687
parents defending education,688
youth rights and justice,689
natl org for women fdn,690
faith and freedom coalition,691
texas values,692
natl assn of scholars,693
ctr for constitutional rights,694
american historical assn,695
natl asian pacific american bar assn,696
american property casualty insurance assn,697
oklahoma call for reproductive justice,698
american jewish comm,699
defenders of wildlife,700
natl immigration litigation alliance,701
fpc action fdn,702
republican natl comm,703
u.s. conference of mayors,704
natl whistleblower ctr,705
hadassah the women’s zionist org of america,706
military-veterans advocacy,707
glaxosmithkline,708
legal voice,709
buckeye inst,710
aclu of puerto rico,711
univision communications,712
natl conference of state legislatures,713
northrop grumman corporation,714
franklin and marshall college,715
natl equality action team,716
american indian higher education consortium,717
evangelical council for financial accountability,718
lutheran church-missouri synod,719
intl conference of evangelical chaplain endorsers,720
brady ctr to prevent gun violence,721
reproaction,722
young conservatives of texas,723
american tort reform assn,724
american college of nurse-midwives,725
kwh law ctr for social justice and change,726
american assn of pro-life obstetricians and gynecologists,727
natl ctr on domestic and sexual violence,728
natl ctr for public policy research,729
carleton college,730
justice fdn,731
american speech-language-hearing assn,732
citizen action defense fund,733
veterans of foreign wars of the united states,734
soc for maternal-fetal medicine,735
sisterreach,736
local government legal ctr,737
downsize dc.org,738
techfreedom,739
demos,740
gender justice,741
turo,742
jewish coalition for religious liberty,743
new england legal fdn,744
tahirih justice ctr,745
reproductive health access project,746
urge: unite for reproductive and gender equity,747
dēmos,748
christian legal soc,749
natl partnership for women and families,750
yelp,751
natl jewish commission on law and public affairs,752
ctr for equal opportunity,753
freedom x,754
policy analysis ctr,755
california police chiefs assn,756
virginia citizens defense league,757
jewish war veterans of the united states of america,758
natl assn of evangelicals,759
american ctr for law and justice,760
united farm workers of america,761
brooklyn defender services,762
tribal law and policy inst,763
assn of american railroads,764
conservative legal defense and education fund,765
american cornerstone inst,766
american immigration council,767
rio grande fdn,768
natl assn for public defense,769
union of orthodox jewish congregations of america,770
product liability advisory council,771
disability rights education and defense fund,772
act,773
roderick and solange macarthur justice ctr,774
virginia sexual and domestic violence action alliance,775
equal justice soc,776
ywca usa,777
immigration reform law inst,778
unified patents,779
palmetto promise inst,780
muslims for progressive values,781
western states petroleum assn,782
united states conference of catholic bishops,783
american public health assn,784
business roundtable,785
positive women’s network-usa,786
law enforcement action partnership,787
american principles project,788
natl immigrant justice ctr,789
march for our lives action fund,790
natural resources defense council,791
reconstructionist rabbinical assn,792
family research council,793
latinojustice prldef,794
restaurant law ctr,795
heller fdn,796
natl indigenous women’s resource ctr,797
seattle indian health board,798
natl immigration law ctr,799
intellectual property owners assn,800
natl ctr for youth law,801
catholic assn fdn,802
free speech coalition,803
partnership for working families,804
natl health law program,805
restoring liberty action comm,806
natl shooting sports fdn,807
natl assn of consumer advocates,808
american financial services assn,809
public advocate of the united states,810
natl coalition against domestic violence,811
poverty and race research action council,812
asian pacific american labor alliance,813
cisco systems,814
knights of columbus,815
thomas more soc,816
susan b. anthony list,817
taxpayers against fraud education fund,818
natl coalition on black civic participation,819
natl employment law project,820
hamilton lincoln law inst,821
fdn for individual rights and expression,822
rutherford inst,823
becket fund for religious liberty,824
asian law alliance,825
coalition for jewish values,826
frontline policy council,827
ctr for workplace compliance,828
minnesota family council,829
men for life,830
fdn for moral law,831
leadership conference on civil and human rights,832
moms for liberty,833
illinois policy inst,834
pinterest,835
intl action network for gender equity and law,836
american thoracic soc,837
ibis reproductive health,838
eagle forum,839
american college of physicians,840
natl education assn,841
civil rights education and enforcement ctr,842
southern coalition for social justice,843
patriotic veterans,844
hispanic natl bar assn,845
protect democracy project,846
assn of american universities,847
gun owners of california,848
workday,849
natl asian pacific american women’s forum,850
greater new york hospital assn,851
marymount university,852
lift louisiana,853
fred t. korematsu ctr for law and equality,854
legal momentum the women’s legal defense and education fund,855
american college of obstetricians and gynecologists,856
bronx defenders,857
protect the first fdn,858
assn of american medical colleges,859
american fed of state county and municipal employees,860
natl network to end domestic violence,861
american cancer soc cancer action network,862
public interest legal fdn,863
